,0
TaskMeAnything_v1_imageqa_random/random_3d_where_distance,33.33/55.67/999.13
VisOnlyQA-VLMEvalKit/syntheticgeometry__triangle,47.00/50.00/623.86
MMBench_DEV_EN_V11/image_scene,91.10/91.10/1272.11
Q-Bench1_VAL/type_2_concern_3,70.59/65.88/1204.95
A-Bench_VAL/part1 -> bag_of_words -> composition -> size,71.43/57.14/1260.57
A-Bench_VAL/part1 -> outside_knowledge -> specific-terms -> style -> dadaism,100.00/100.00/1000.09
A-Bench_VAL/part1 -> outside_knowledge -> specific-terms -> style -> art,100.00/100.00/934.67
SpatialEval/spatialreal,58.52/55.56/1202.43
MMBench_DEV_EN/image_scene,95.82/96.81/1273.70
Q-Bench1_VAL/type_0_concern_0,73.40/69.68/1228.36
MMBench_DEV_EN_V11/image_emotion,92.92/81.67/1159.85
MMBench_DEV_EN_V11/object_localization,74.09/71.17/1217.22
MMBench_DEV_CN/structuralized_imagetext_understanding,67.02/76.95/706.64
POPE/popular,0.00/0.00/1262.87
StaticEmbodiedBench/Micro Perception,66.67/56.67/1250.14
CCBench/scenery_building,51.05/48.68/1243.02
MMBench_DEV_CN/action_recognition,92.09/92.56/1200.17
VisOnlyQA-VLMEvalKit/chemistry__shape_single,48.00/62.00/590.98
MMBench_DEV_EN/physical_relation,52.13/67.02/1081.14
A-Bench_VAL/part1 -> outside_knowledge -> specific-terms -> vehicle,100.00/84.21/1309.76
A-Bench_VAL/part1 -> outside_knowledge -> specific-terms -> style -> victorian,100.00/0.00/1009.53
A-Bench_VAL/part1 -> outside_knowledge -> specific-terms -> style -> steampunk,100.00/100.00/1231.89
CCBench/calligraphy_painting,59.21/60.09/1359.08
WorldMedQA-V/spain,42.40/40.80/901.45
MMBench_DEV_EN_V11/social_relation,93.93/91.50/1154.78
A-Bench_VAL/part1 -> outside_knowledge -> specific-terms -> style -> psychedelic,100.00/100.00/971.03
A-Bench_VAL/part1 -> outside_knowledge -> specific-terms -> style -> surrealism,100.00/100.00/1166.66
AI2D_TEST/volcano,62.50/87.50/767.51
VisOnlyQA-VLMEvalKit/geometry__angle,18.00/20.00/662.93
AI2D_TEST/moonPhaseEquinox,57.76/55.60/722.07
A-Bench_VAL/part1 -> outside_knowledge -> specific-terms -> daily,76.47/88.24/1259.73
A-Bench_VAL/part1 -> outside_knowledge -> specific-terms -> company,100.00/100.00/1068.78
MMBench_DEV_CN/ocr,89.10/85.90/875.35
A-Bench_VAL/part1 -> outside_knowledge -> specific-terms -> style -> art_deco,100.00/100.00/1126.37
MMSci_DEV_MCQ/Biological sciences,33.03/35.01/708.22
AI2D_TEST/atomStructure,75.00/75.00/637.99
WorldMedQA-V/japan-en,38.10/42.86/895.00
MMBench_DEV_EN/nature_relation,83.80/77.65/1057.92
AI2D_TEST/partsOfTheEarth,57.69/71.15/809.24
MMBench_DEV_EN/image_topic,94.29/92.14/1213.62
MMBench_DEV_EN/image_style,92.92/86.79/1187.72
MMSci_DEV_MCQ/Earth and environmental sciences,35.77/48.37/787.55
CCBench/historical_figure,63.57/52.86/1170.22
AI2D_TEST/typesOf,66.47/66.76/667.96
TaskMeAnything_v1_imageqa_random/random_3d_what_size,56.00/57.00/1025.91
A-Bench_VAL/part1 -> bag_of_words -> noun_as_adjective,83.72/74.42/1215.26
CCBench/traditional_show,62.12/54.55/975.25
AesBench_VAL/AesA,30.83/25.83/1263.61
MMBench_DEV_EN/function_reasoning,90.46/92.11/1131.21
AI2D_TEST/rockStrata,68.29/75.61/853.40
MMBench_DEV_EN/social_relation,94.77/94.77/1142.87
TaskMeAnything_v1_imageqa_random/random_3d_what_attribute,60.67/71.00/1015.30
AI2D_TEST/photosynthesisRespiration,65.82/67.09/756.93
VisOnlyQA-VLMEvalKit/geometry__quadrilateral,46.00/54.00/649.68
AI2D_TEST/partsOfA,74.33/73.72/690.15
TaskMeAnything_v1_imageqa_random/random_sg_what_object,89.00/92.33/1275.27
MMStar/fine-grained perception,44.00/45.60/1175.62
MMSci_DEV_MCQ/Health sciences,33.64/34.85/717.43
SpatialEval/mazenav,24.93/27.27/734.38
"POPE/random,popular",0.00/0.00/1302.16
MMStar/math,37.60/41.60/744.47
A-Bench_VAL/part1 -> outside_knowledge -> specific-terms -> style -> pop,100.00/100.00/1067.97
TaskMeAnything_v1_imageqa_random/random_sg_what_attribute,67.00/76.33/1304.32
MMBench_DEV_EN_V11/image_topic,95.34/94.07/1258.79
AI2D_TEST/rockCycle,59.70/67.16/645.98
MMBench_DEV_EN/identity_reasoning,98.86/97.73/886.40
MMBench_DEV_CN/image_topic,97.14/96.43/1216.28
AesBench_VAL/AesP,75.83/78.33/1277.74
A-Bench_VAL/part1 -> bag_of_words -> attribute,93.64/84.55/1272.34
VisOnlyQA-VLMEvalKit/geometry__triangle,54.00/46.00/650.93
MMBench_DEV_EN/image_emotion,90.00/82.00/1164.66
TaskMeAnything_v1_imageqa_random/random_3d_what_distance,46.33/47.67/1010.82
MMBench_DEV_EN_V11/physical_relation,63.39/63.39/1140.78
A-Bench_VAL/part1 -> bag_of_words -> composition -> orientation,69.23/61.54/1207.21
MMBench_DEV_CN/physical_property_reasoning,66.67/73.06/1028.85
A-Bench_VAL/part1 -> bag_of_words -> composition -> occlusion,60.00/40.00/1200.33
CV-Bench-2D/Count,59.39/62.31/1290.86
MMBench_DEV_EN_V11/identity_reasoning,99.01/98.03/892.11
A-Bench_VAL/part1 -> outside_knowledge -> specific-terms -> style -> fauvism,100.00/100.00/1120.60
A-Bench_VAL/part1 -> outside_knowledge -> specific-terms -> style -> deco,100.00/100.00/1162.11
POPE/adversarial,0.00/0.00/1259.79
MMBench_DEV_CN/image_scene,97.30/96.31/1267.98
MMBench_DEV_EN/attribute_comparison,88.65/85.11/907.15
VisOnlyQA-VLMEvalKit/charts__extraction,24.00/18.00/676.66
VisOnlyQA-VLMEvalKit/syntheticgeometry__area,18.00/21.00/623.38
Q-Bench1_VAL/type_0_concern_2,62.39/68.38/1258.42
A-Bench_VAL/part1 -> outside_knowledge -> contradiction overcome,66.67/83.33/1236.22
MMBench_DEV_CN/spatial_relationship,44.63/49.72/966.06
TaskMeAnything_v1_imageqa_random/random_3d_where_size,38.67/45.67/1024.81
A-Bench_VAL/part1 -> basic_recognition -> minor,94.92/93.22/1225.85
TaskMeAnything_v1_imageqa_random/random_2d_how_many,59.33/67.33/613.26
VStarBench/relative_position,60.53/64.47/1275.96
CV-Bench-3D/Depth,70.67/78.33/1352.72
CV-Bench-3D/Distance,50.67/57.33/1361.30
TaskMeAnything_v1_imageqa_random/random_2d_where_attribute,37.67/36.33/621.87
A-Bench_VAL/part1 -> outside_knowledge -> specific-terms -> sports,68.18/63.64/1272.98
VisOnlyQA-VLMEvalKit/syntheticgeometry__length,24.00/28.00/638.15
TaskMeAnything_v1_imageqa_random/random_2d_where,47.33/36.33/624.57
Q-Bench1_VAL/type_2_concern_0,50.57/55.68/1218.47
A-Bench_VAL/part1 -> outside_knowledge -> specific-terms -> food,90.91/90.91/1185.42
AI2D_TEST/faultsEarthquakes,67.86/78.57/866.46
MMSci_DEV_MCQ/Scientific community and society,52.94/52.94/732.02
WorldMedQA-V/israel,30.65/33.87/908.67
VisOnlyQA-VLMEvalKit/geometry__diameter_radius,48.00/52.00/644.57
MMSci_DEV_MCQ/Physical sciences,38.50/45.33/725.06
VisOnlyQA-VLMEvalKit/charts__intersection,40.00/52.00/667.05
MMBench_DEV_EN/celebrity_recognition,92.93/92.42/1190.04
A-Bench_VAL/part1 -> outside_knowledge -> specific-terms -> material,76.19/90.48/1356.20
TaskMeAnything_v1_imageqa_random/random_3d_where,45.33/47.00/1010.17
MMBench_DEV_EN/spatial_relationship,50.28/49.72/993.64
A-Bench_VAL/part1 -> outside_knowledge -> specific-terms -> style -> abstract,100.00/100.00/1100.49
Q-Bench1_VAL/type_0_concern_3,82.86/87.14/1217.93
VisOnlyQA-VLMEvalKit/3d__size,36.00/27.00/1873.00
TaskMeAnything_v1_imageqa_random/random_2d_what,56.33/56.67/629.06
MMBench_DEV_EN/object_localization,70.16/67.30/1213.51
MMBench_DEV_CN/function_reasoning,91.78/92.43/1140.93
StaticEmbodiedBench/Phased Reasoning,30.00/30.71/1239.61
CV-Bench-2D/Relation,78.92/71.54/1297.91
MMBench_DEV_CN/physical_relation,55.32/67.02/1091.64
RealWorldQA/all,59.08/59.87/1348.78
CCBench/cultural_relic,61.60/52.58/1209.47
A-Bench_VAL/part2 -> aesthetic,53.42/46.12/1203.10
CCBench/food_clothes,59.57/61.96/1086.22
"POPE/adversarial,random",0.00/0.00/1267.68
A-Bench_VAL/part1 -> outside_knowledge -> specific-terms -> weather,92.31/92.31/1478.94
TaskMeAnything_v1_imageqa_random/random_3d_where_attribute,38.67/38.33/994.23
Q-Bench1_VAL/type_1_concern_1,83.04/75.00/1233.27
MMBench_DEV_EN_V11/image_quality,42.91/45.09/1117.16
A-Bench_VAL/part1 -> outside_knowledge -> specific-terms -> creature,83.33/83.33/1310.45
MMStar/instance reasoning,64.40/61.20/1004.61
MMBench_DEV_CN/attribute_comparison,79.43/79.43/894.15
VisOnlyQA-VLMEvalKit/3d__angle,22.00/17.00/1810.92
MMBench_DEV_EN_V11/structuralized_imagetext_understanding,55.48/61.13/706.35
SpatialEval/spatialgrid,45.67/41.73/1328.37
A-Bench_VAL/part1 -> outside_knowledge -> specific-terms -> style -> expressionism,100.00/50.00/1106.39
MMBench_DEV_EN/ocr,87.18/83.97/887.36
MMBench_DEV_EN/image_quality,51.33/49.33/1083.09
POPE/random,0.00/0.00/1252.98
VisOnlyQA-VLMEvalKit/syntheticgeometry__angle,19.00/18.00/612.53
"POPE/adversarial,popular",0.00/0.00/1256.60
TaskMeAnything_v1_imageqa_random/random_2d_what_attribute,58.67/66.33/623.16
A-Bench_VAL/part1 -> outside_knowledge -> specific-terms -> science,87.50/87.50/1284.20
A-Bench_VAL/part1 -> outside_knowledge -> specific-terms -> style -> futurism,100.00/66.67/1351.36
AI2D_TEST/lifeCycles,62.35/64.99/653.06
MMBench_DEV_CN/celebrity_recognition,89.65/88.13/1200.93
MMBench_DEV_EN/structuralized_imagetext_understanding,69.50/76.24/715.13
TaskMeAnything_v1_imageqa_random/random_3d_what,50.33/52.67/992.36
MMBench_DEV_EN_V11/physical_property_reasoning,56.97/70.30/944.19
overall,56.19/56.63/1043.66
